article_name,price,odo,year,location,date,link
Kia Seltos Kia Seltos Vibrant 1.6 L At. 2022,110.490.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-817178639-kia-seltos-vibrant-at-16l-2023-_JM#position=14&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage 2.0 Desire Aut,105.000.000,15.500 Km,2020,Kennedy - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-881420714-kia-sportage-_JM#position=15&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Seltos Kia Seltos Emotion 1.6l At 2022,103.990.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-817191396-kia-seltos-emotion-at-16l-2023-_JM#position=16&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sonet Vibrant,100.490.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-805650240-kia-sonet-15l-vibrant-at-2023-_JM#position=17&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Niro 1.6 Hibrido,97.700.000,24.475 Km,2021,Usaquén - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-872286184-kia-niro-emotion-hibrido-2021-_JM#position=18&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Sportage 2.0l Gasolina 4x2,95.000.000,26.000 Km,2017,Medellín - Antioquia,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-874354360-kia-new-sportage-lx-20-mod-2017-_JM#position=19&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Stonic Kia Stonic Vibrant 1.0 L Mt. Turbo 2022,90.490.000,0 Km,2022,Cali - Valle Del Cauca,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-817308696-kia-stonic-10l-turbo-hybrid-mt-2023-_JM#position=20&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Stonic Hibrida Turbo Sin Pico Y Placa,88.990.000,0 Km,2023,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-880328507-kia-stonic-sin-pico-y-placa-hibrida-turbo-2023-_JM#position=21&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia Stonic Sin Pico Y Placa Hibrida Turbo,88.990.000,0 Km,2023,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-880347969-kia-stonic-hibrido-turbo-full-2023-_JM#position=22&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
Kia New Sportage 2.0 Lx,86.600.000,37.782 Km,2017,Suba - Bogotá D.C.,2022-05-12 11:13,https://carro.mercadolibre.com.co/MCO-884060137-kia-new-sportage-_JM#position=23&search_layout=grid&type=item&tracking_id=63431e13-bd14-4536-aea2-6cd5d7ff5789
